PERMITTED_VALUE	DESCRIPTION	DEFINITION
Malignant Odontogenic Neoplasm	None	A rare neoplasm arising from tooth-forming tissues. It occurs in the maxillofacial skeleton or the gingiva. Symptoms include swelling, pain, bleeding, mobility of affected teeth, and oral mucosa ulcerations. It may metastasize to lymph nodes and distant anatomic sites early.
Malignant Ovarian Brenner Tumor	None	A Brenner tumor of the ovary characterized by a cytologically malignant cell population and stromal invasion.
Malignant Ovarian Steroid Cell Tumor	None	A steroid tumor of the ovary which has an aggressive clinical course and metastasizes to other anatomic sites. It is usually of large size and is characterized by nuclear atypia, increased mitotic activity, hemorrhage, and necrosis. Sometimes, patients have abdominal metastases at presentation.
Malignant PEComa	None	A usually large and aggressive tumor with perivascular epithelioid cell differentiation characterized by the presence of marked nuclear atypia, pleomorphism, increased mitotic activity, necrosis, and infiltrative margins.  The most common metastatic sites are liver, lungs, lymph nodes, and bone.
Malignant Peripheral Nerve Sheath Tumor	None	An uncommon, highly aggressive malignant tumor, arising from the peripheral nerves and affecting mostly adults in their third to sixth decades of life.  It usually occurs in medium-sized and large nerves of the buttock, thigh, upper arm, or the paraspinal region.  It may be associated with neurofibromatosis 1 (NF1).
Malignant Sertoli Cell Tumor	None	A Sertoli cell tumor that arises from the testis or the ovary. It is characterized by nuclear pleomorphism, increased mitotic activity and necrotic changes. Metastases may be present at diagnosis.
Malignant Spindle Cell Neoplasm	None	A malignant neoplasm characterized by the presence of atypical spindle cells.
Malignant Teratoma	None	A teratoma composed exclusively of immature tissues.
Myeloproliferative Neoplasm, Unclassifiable	None	This subgroup of myeloproliferative neoplasms includes cases which do not meet the morphologic criteria of any of the defined myeloproliferative neoplasms, or which have characteristics that overlap at least two of the myeloproliferative neoplasms.
Myoepithelial Tumor	None	A benign or malignant epithelial neoplasm characterized by the presence of cells that show myoepithelial differentiation. Based on its morphologic features, it is classified as benign or malignant. A representative example of benign myoepithelioma is benign salivary gland myoepithelioma. Representative examples of malignant myoepithelioma or myoepithelial carcinoma are malignant breast myoepithelioma and salivary gland myoepithelial carcinoma.
Myofibromatosis	None	A benign neoplasm arising from the soft tissues. It is characterized by the presence of myofibroblastic hyperchromatic spindle cells, hylanized stroma formation, calcification, necrosis, and a multinodular growth pattern.
Myxofibrosarcoma	None	A spectrum of malignant fibroblastic neoplasms arising from the soft tissues. It is characterized by the presence of spindle-shaped cells, cellular pleomorphism, thin-walled blood vessels, fibrous septa, and myxoid stroma.
Myxoid Leiomyosarcoma	None	A morphologic variant of leiomyosarcoma characterized by the presence of cellular pleomorphism, malignant cells with large nuclei, and a myxoid stroma.
Myxoinflammatory Fibroblastic Sarcoma	None	A low grade multinodular malignant neoplasm arising from the soft tissues.  It is characterized by the presence of spindle-shaped fibroblasts, multivacuolated lipoblast-like cells, bizarre ganglion-like cells with inclusion-like nuclei, myxoid stroma formation, and a mixture of acute and chronic inflammatory infiltrate.
Myxopapillary Ependymoma	None	Myxopapillary Ependymomas (WHO grade I) are slow growing gliomas which generally occur in young adults and arise almost exclusively in the conus-cauda-filum terminale region. It generally has a favorable prognosis and is characterized histologically by tumor cells arranged in a papillary manner around vascularized mucoid stromal cores. (Adapted from WHO.)
Nasal Type Extranodal NK/T-Cell Lymphoma	None	An aggressive, predominantly extranodal, mature T-cell non-Hodgkin lymphoma.  It is characterized by an often angiocentric and angiodestructive cellular infiltrate composed of EBV positive NK/T cells.  The nasal cavity is the commonest site of involvement.  Patients often present with midfacial destructive lesions (lethal midline granuloma).  The disease may disseminate rapidly to various anatomic sites including gastrointestinal tract, skin, testis, and cervical lymph nodes.  It is also known as angiocentric T-cell lymphoma.  The term "polymorphic reticulosis" has been widely used to describe the morphologic changes seen in this type of lymphoma.  However, the latter term may also apply to lymphomatoid granulomatosis which is an angiocentric and angiodestructive EBV positive B-cell lymphoproliferative disorder.  -- 2003
Neoplasm, Uncertain Whether Benign or Malignant	None	A neoplasm which, on morphologic grounds, can not be classified with certainty as benign or malignant.
Nerve Sheath Myxoma	None	A benign neoplasm arising from nerve sheaths. It is characterized by the presence of a myxoid stroma.
Neuroblastoma	None	A neuroblastic tumor characterized by the presence of neuroblastic cells, the absence of ganglion cells, and the absence of a prominent Schwannian stroma formation.
Neuroendocrine Tumor	None	A well-differentiated epithelial neuroendocrine neoplasm of low, intermediate, or high grade.
Neuroma	None	A tumor that grows from a nerve or is composed of nerve cells and nerve fibers.
Nevus Spilus	None	A melanocytic nevus that contains a variable number of darkly pigmented macules and papules.
Nodular Fasciitis	None	A rapid growing, non-encapsulated benign neoplasm that arises from the soft tissues. It is characterized by the presence of non-hyperchromatic spindle-shaped fibroblasts, multinucleated osteoclast-like giant cells, chronic inflammatory infiltrate, red blood cell extravasation, and high mitotic activity, in a storiform growth pattern.
Nodular Sclerosis Classic Hodgkin Lymphoma, Cellular Phase	None	A nodular sclerosis Hodgkin lymphoma characterized by the presence of lacunar cells, nodular growth, and the absence of fibrosis.
Non-Functioning Pancreatic Neuroendocrine Tumor	None	A low or intermediate grade well differentiated tumor with neuroendocrine differentiation that arises from the pancreas.  It is characterized by the absence of a hormone-related clinical syndrome.
Non-Invasive Cribriform Carcinoma	None	A carcinoma characterized by the presence of a cribriform architectural pattern. There is no evidence of surrounding stromal invasion by the malignant cells.
Non-Invasive Papillary Transitional Cell Carcinoma	None	A transitional cell carcinoma characterized by a papillary growth pattern and lack of stromal invasion.
Non-Keratinizing Small Cell Squamous Cell Carcinoma	None	A squamous cell carcinoma composed of small atypical cells, without morphologic evidence of keratin production.
Bronchial Mixed Squamous Cell and Glandular Papilloma	None	An exceedingly rare benign endobronchial neoplasm characterized by the presence of fibrovascular cores which are lined by both squamous and glandular epithelium. Patients present with obstructive symptoms. Complete resection is curative.
Calcifying Aponeurotic Fibroma	None	A rare slow-growing benign neoplasm arising from the soft tissues in children. It is a poorly circumscribed tumor characterized by the presence of chondrocyte-like cells, nodular calcification, nuclear palisading, and in some cases osteoclastic giant cells.
Calcifying Epithelial Odontogenic Tumor	None	A slow growing, locally invasive neoplasm arising from tooth-forming tissues. It most often grows intraosseously in the mandible and less frequently in the maxilla. In a minority of cases it grows extraosseously in the gingiva. It is characterized by the presence of a fibrous stroma, epithelial cells with abundant eosinophilic cytoplasm, and amyloid material which is often calcified. Small tumors may be successfully treated with enucleation. Local resection is usually required for larger tumors. Recurrences have been reported in a minority of cases.
Capillary Hemangioma	None	A common hemangioma characterized by the presence of capillary-sized vascular channels without prominent epithelioid endothelial cells.
Carcinoma ex Pleomorphic Adenoma	None	A carcinoma arising in a pre-existing pleomorphic adenoma. It most often occurs in the parotid gland and less often in the submandibular gland and minor salivary gland. Patients usually present with a history of a long-standing mass which recently had undergone rapid growth. The prognosis depends on the invasiveness of the malignant component. Patients with non-invasive or minimally invasive tumors usually have a good prognosis following surgical resection. Invasive tumors are usually aggressive and are associated with recurrences and metastases.
Carcinoma Simplex	None	An undifferentiated malignant epithelial neoplasm which tends to infiltrate the surrounding tissues and spread to other anatomic sites.
Carcinoma	None	A malignant tumor arising from epithelial cells. Carcinomas that arise from glandular epithelium are called adenocarcinomas, those that arise from squamous epithelium are called squamous cell carcinomas, and those that arise from transitional epithelium are called transitional cell carcinomas. Morphologically, the malignant epithelial cells may display abnormal mitotic figures, anaplasia, and necrosis. Carcinomas are graded by the degree of cellular differentiation as well, moderately, or poorly differentiated. Carcinomas invade the surrounding tissues and tend to metastasize to other anatomic sites. Lung carcinoma, skin carcinoma, breast carcinoma, colon carcinoma, and prostate carcinoma are the most frequently seen carcinomas.
Carotid Body Paraganglioma	None	A benign or malignant extra-adrenal parasympathetic paraganglioma arising from paraganglia adjacent to or in the bifurcation of the common carotid artery.  Most patients present with a slow growing, painless mass in the neck.
Cavernous Lymphangioma	None	A lymphangioma characterized by the presence of thin-walled cavernous lymphatic spaces.
Cellular Fibroma	None	A morphologic variant of fibroma characterized by increased cellularity.
Cemento-Osseous Dysplasia	None	A non-neoplastic fibro-osseous lesion of the tooth-bearing regions of the gnathic bones. It is characterized by a variably cellular fibrous stroma with areas of swirling and/or loose collagen. Within the stroma are mineralizing tissues consisting of osteoid, bone, and cementum-like material. As the lesions mature, they become increasingly calcified. (WHO 2017)
Cementoblastoma	None	A rare benign bone-forming neoplasm usually arising from the jaw. It is a well-circumscribed lytic tumor that varies in size. The cell of origin is the cementoblast.
Central Nervous System Germinoma	None	A malignant germ cell tumor arising from the central nervous system.  It is composed of uniform cells resembling primitive germ cells.  These cells have large, vesicular nuclei, prominent nucleoli and a clear, glycogen-rich cytoplasm.  Additional features are lymphoid or lymphoplasmacytic infiltrates and, less frequently, scattered syncytiotrophoblastic giant cells.  (Adapted from WHO)
Central Neurocytoma	None	Central Neurocytoma is an intraventricular neuronal neoplasm composed of uniform round cells with neuronal differentiation. It is typically located in the lateral ventricles in the region of the foramen of Monro.  It generally affects young adults and has a favorable prognosis. (Adapted from WHO.)
Ceruminous Adenocarcinoma	None	An infiltrating adenocarcinoma derived from ceruminous glands in the external auditory canal.
Cholangiocarcinoma	None	A carcinoma that arises from the intrahepatic biliary tree (intrahepatic cholangiocarcinoma) or from the junction, or adjacent to the junction, of the right and left hepatic ducts (hilar cholangiocarcinoma). Grossly, the malignant lesions are solid, nodular, and grayish. Morphologically, the vast majority of cases are adenocarcinomas. Signs and symptoms include malaise, weight loss, right upper quadrant abdominal pain, and night sweats. Early detection is difficult and the prognosis is generally poor.
Chondroblastoma	None	A benign, lytic neoplasm usually arising from the cartilage in epiphysis and metaphysis of bone.  It is a well circumscribed tumor characterized by the presence of chondroblasts, osteoclast-like giant cells, myxoid stroma formation, calcification, and mitotic activity. In aggressive cases, there is rearrangement of the 8q21 chromosome band.  The tumor occurs most frequently in children and young adults.
Chondroid Lipoma	None	A rare benign adipose tissue neoplasm characterized by nests and cord of abundant univacuolated and multivacuolated lipoblasts and mature adipocytes in a prominent myxoid to hyalinized chondroid matrix admix. It predominantly affects females.
Chondroma	None	A benign well circumscribed neoplasm arising from the hyaline cartilage in soft tissue or bone. It is characterized by the presence of chondrocytes.
Chondrosarcoma	None	A malignant mesenchymal tumor arising from cartilage-forming tissues involving the bones.  It affects middle-aged to elderly adults, and the pelvic bones, ribs, shoulder girdle, and long bones are the most common sites of involvement.  Most chondrosarcomas arise de novo, but some may develop in a preexisting benign cartilaginous lesion.
Chordoma	None	A malignant bone tumor arising from the remnants of the fetal notochord. Although it can occur at all ages, it is more frequently seen in middle-aged adults. Most frequent sites of involvement are: sacrococcygeal area, spheno-occipital area, and the cervico-thoraco-lumbar spine. Microscopically, chordomas are composed of cells that form cords and lobules, separated by mucoid intercellular tissue. Some of the cells are large (physaliphorous) and have vacuolated cytoplasm and prominent vesicular nuclei. Other tumor cells are small with small nuclei without visible nucleoli. Chordomas tend to recur and may metastasize. The most common sites of metastasis are skin and bone.
Choriocarcinoma	None	An aggressive malignant tumor arising from trophoblastic cells.  The vast majority of cases arise in the uterus and represent gestational choriocarcinomas that derive from placental trophoblastic cells.  Approximately half of the cases develop from a complete hydatidiform mole.  A minority of cases arise in the testis or the ovaries.  There is often marked elevation of human chorionic gonadotropin (hCG) in the blood.  Choriocarcinomas disseminate rapidly through the hematogenous route; the lungs are most frequently affected. --2004
Choroid Plexus Papilloma	None	Choroid Plexus Papilloma (WHO grade I) is a benign, slow growing tumor which may cause symptoms by blocking CSF pathways. Surgical resection is usually curative. (Adapted from WHO.)
Chronic Eosinophilic Leukemia, Not Otherwise Specified	None	A rare myeloproliferative neoplasm characterized by a clonal proliferation of eosinophilic precursors resulting in persistently increased numbers of eosinophils in the blood, marrow and peripheral tissues.  Since acute eosinophilic leukemia is at best exceedingly rare, the term eosinophilic leukemia is normally used as a synonym for chronic eosinophilic leukemia.  In cases in which it is impossible to prove clonality and there is no increase in blast cells, the diagnosis of "idiopathic hypereosinophilic syndrome" is preferred.  (WHO, 2001)
Chronic Myeloid Leukemia, BCR-ABL1 Positive	None	The most common chronic myeloproliferative disorder characterized by neutrophilic leukocytosis.  It is associated with the Philadelphia (Ph) chromosome and/or the BCR/ABL fusion gene.  Most patients are middle-aged or elderly.  Common findings at presentation include fatigue, weight loss, anemia, night sweats, and splenomegaly.  The disease is bi- or triphasic: an initial indolent chronic phase is followed by accelerated or blast phase.  Allogeneic bone marrow transplantation is currently the only curative therapy (adapted from WHO 2001).  -- 2003
Chronic Myelomonocytic Leukemia	None	A myelodysplastic/myeloproliferative disease which is characterized by persistent monocytosis, absence of a Philadelphia chromosome and BCR/ABL fusion gene, fewer than 20% blasts in the bone marrow or blood, and myelodysplasia.  (WHO, 2001) -- 2003
Ciliary Body Benign Medulloepithelioma	None	A rare, unilateral, benign embryonal neoplasm typically presenting as a ciliary body mass during childhood. It arises from primitive medullary epithelium.
Ciliary Body Teratoid Medulloepithelioma	None	A rare, unilateral, benign or malignant embryonal neoplasm typically presenting as a ciliary body mass during childhood. It arises from primitive medullary epithelium and contains heterologous elements, particularly cartilage, skeletal muscle, and brain tissue.
Clear Cell Adenocarcinoma	None	A malignant neoplasm composed of glandular epithelial clear cells.  Various architectural patterns may be seen, including papillary, tubulocystic, and solid.
Clear Cell Adenoma	None	A benign neoplasm composed of glands containing epithelial clear cells.
Clear Cell Hepatocellular Carcinoma	None	A morphologic variant of hepatocellular carcinoma characterized by the presence of clear cells.
Clear Cell Neoplasm	None	A purely morphologic term that describes a neoplasm in which all or the majority of the neoplastic cells have a clear cytoplasm, when examined under light microscopy, using the conventional staining method (H-E). This term does not provide any information about the nature of the neoplasm (benign or malignant), cell of origin (e.g. epithelial versus mesenchymal versus hematopoietic), or prognosis. Further examination using special stains and/or immunohistochemistry is required to appropriately classify this tumor.
Clear Cell Papillary Cystadenoma	None	A benign cystic glandular epithelial neoplasm characterized by the presence of neoplastic clear or hobnail cells which form papillary structures. There is no evidence of stromal invasion.
Clear Cell Renal Cell Carcinoma	None	A malignant epithelial neoplasm of the kidney characterized by the presence of lipid-containing clear cells within a vascular network.  The tumor may metastasize to unusual sites and late metastasis is common.
Clear Cell Sarcoma of the Kidney	None	A rare pediatric sarcoma affecting the kidney. It is characterized by the presence of epithelioid or spindle cells forming cords or nests, separated by fibrovascular septa. This type of sarcoma frequently metastasizes to the bones.
Colorectal Serrated Adenocarcinoma	None	A rare, invasive colorectal adenocarcinoma characterized by the presence of a malignant infiltrate with serrated glandular architecture.
Combined Carcinoid and Adenocarcinoma	None	A malignant epithelial neoplasm composed of a mixture of neuroendocrine cells with morphologic and immunohistochemical characteristics of carcinoid tumor and malignant glandular cells.
Combined Lung Small Cell Carcinoma	None	A morphologic variant of small cell lung carcinoma in combination with a non-small cell carcinoma.
Complex Odontoma	None	A benign, slow growing, and painless hamartomatous tumor occurring in tooth-bearing areas of the jaws. It is one of the most common odontogenic tumors and it usually affects children, adolescents, and young adults. It is characterized by the presence of enamel and dentin and the absence of tooth-like structures. It is treated with local excision. If it is incompletely removed, it may recur.
Composite Lymphoma	None	Coexistence of Hodgkin and non-Hodgkin lymphoma in the same anatomic site.
Compound Odontoma	None	A benign, slow growing, and painless hamartomatous tumor occurring in tooth-bearing areas of the jaws. It usually affects children and adolescents. It is characterized by the presence of tooth-like structures. Treatment consists of local excision. Recurrences have not been reported.
Congenital Mesoblastic Nephroma	None	A low grade childhood congenital malignant neoplasm arising from the kidney. It is characterized by the presence of fibroblastic cells. The majority of cases occur in the first year of life. Complete excision is usually associated with an excellent prognosis.
Invasive Encapsulated Follicular Variant Thyroid Gland Papillary Carcinoma	None	A papillary carcinoma of the thyroid gland which is encapsulated and resembles an encapsulated follicular neoplasm. Capsular invasion is present. The malignant follicular cells display the nuclear features that characterize the papillary adenocarcinomas of the thyroid gland.
Invasive Lung Mucinous Adenocarcinoma	None	An invasive adenocarcinoma that arises from the lung. It is characterized by the presence of tall columnar cells and mucin production. This category refers to cases formerly classified as mucinous bronchioloalveolar carcinoma, excluding cases that meet the criteria for adenocarcinoma in situ or mucinous minimally invasive adenocarcinoma.
Inverted Squamous Papilloma	None	A benign epithelial neoplasm characterized by an endophytic growth, papillary pattern, and proliferation of neoplastic squamous cells without morphologic evidence of malignancy.
Juvenile Breast Fibroadenoma	None	A breast fibroadenoma that usually occurs in young women. It is characterized by epithelial hyperplasia and an increased stromal cellularity.
Juvenile Myelomonocytic Leukemia	None	A myelodysplastic/myeloproliferative disease of childhood that is characterized by proliferation principally of the granulocytic and monocytic lineages.  Myelomonocytic proliferation is seen in the bone marrow and the blood.  The leukemic cells may infiltrate any tissue, however liver, spleen, lymph nodes, skin, and respiratory tract are the most common sites of involvement.  The prognosis is usually poor.  (WHO, 2001) -- 2003
Juxtaglomerular Cell Tumor	None	A benign, well circumscribed neoplasm arising from the cortex of the kidney. It secrets renin and the patients usually present with severe hypertension and marked hypokalemia. Morphologically, it is characterized by the presence of sheets of polygonal or spindle-shaped neoplastic cells forming a hemangiopericytic pattern.
Keratinizing Squamous Cell Carcinoma	None	Squamous cell carcinomas with morphologically prominent production of keratin.
Lactotroph Pituitary Neuroendocrine Tumor	None	A pituitary neuroendocrine tumor that produces prolactin.
Langerhans Cell Histiocytosis	None	A neoplastic proliferation of Langerhans cells which contain Birbeck granules by ultrastructural examination. Three major overlapping syndromes are recognized: eosinophilic granuloma, Letterer-Siwe disease, and Hand-Schuller-Christian disease. The clinical course is generally related to the number of organs affected at presentation. (WHO, 2001)
Large Cell Acanthoma	None	A benign, well-circumscribed squamous lesion characterized by the presence of enlarged keratinocytes with nuclei twice the normal size. (WHO 2018)
Giant Cell Tumor of Bone	None	A benign but locally aggressive tumor that arises from the bone and is composed of mononuclear cells admixed with macrophages and osteoclast-like giant cells.  It usually arises from the ends of long bones or the vertebrae.  Clinical presentation includes pain, edema, and decreased range of motion in the affected joint.
Giant Congenital Nevus	None	A rare melanocytic lesion occurring at birth, comprising at least 5% of the body surface area. It usually presents as a dark brown to black hairy lesion. Morphologically, it is characterized by the presence of a compound or intradermal nevus. There is an increased risk of malignant transformation to melanoma, rhabdomyosarcoma, and poorly differentiated malignant tumors.
Follicular Lymphoma	None	A neoplasm of follicle centre B cells which has at least a partial follicular pattern.  Follicular lymphomas comprise about 35% of adult non-Hodgkin lymphomas in the U.S. and 22% worldwide.  Most patients have widespread disease at diagnosis.  Morphologically, follicular lymphomas are classified as Grade 1, Grade 2, and Grade 3, depending on the percentage of the large lymphocytes present.  The vast majority of cases (70-95%) express the BCL-2 rearrangement [t(14;18)].  Histological grade correlates with prognosis.  Grades 1 and 2 follicular lymphomas are indolent and grade 3 is more aggressive (adapted from WHO, 2001).
Glassy Cell Carcinoma	None	A malignant epithelial neoplasm composed of atypical cells with glassy cytoplasm.
Gliofibroma	None	An astrocytic tumor affecting young people.  Morphologically, it is characterized by the presence of collagenous tissue surrounding neoplastic astrocytes.  In some cases the collagen is produced by the tumor cells (desmoplastic astrocytoma), whereas in others it is produced by mesenchymal cells (mixed glioma/fibroma).
Gliosarcoma	None	A rare histological variant of glioblastoma (WHO grade IV) characterized by a biphasic tissue pattern with alternating areas displaying glial and mesenchymal differentiation (WHO).
Glomangioma	None	A morphologic variant of the glomus tumor characterized by the presence of dilated veins, surrounded by small clusters of glomus cells. Glomangiomas are most often present in patients with multiple lesions.
Glomus Tumor	None	A rare benign or malignant mesenchymal neoplasm arising from cells that resemble the modified smooth muscle cells of the glomus body. The majority of glomus tumors occur in the distal extremities.
Gonadal Polyembryoma	None	A rare malignant germ cell tumor arising from the testis and less often from the ovary. It is characterized by the presence of embryoid bodies which resemble early embryos.
Grade 1 Follicular Lymphoma	None	A low-grade malignant lymphoma of predominantly follicular pattern. Follicles are of relatively uniform size and shape and the cells are usually somewhat larger than normal lymphocytes. Nuclei are irregular with prominent indentations and cytoplasm can rarely be identified. Cells exhibiting these characteristics are often called small cleaved cells.
Grade 2 Follicular Lymphoma	None	A follicular lymphoma which contains 6-15 centroblasts per 40X high-power microscopic field.
Grade 3 Follicular Lymphoma	None	A follicular lymphoma which contains more than 15 centroblasts per 40X high-power microscopic field.
Granular Cell Carcinoma	None	An adenocarcinoma characterized by the presence of malignant epithelial cells with granular cytoplasm.
Granular Cell Tumor	None	An unusual benign or malignant neoplasm characterized by the presence of neoplastic large polygonal cells with granular, eosinophilic cytoplasm which contains abundant lysosomes. It was originally thought to be a tumor originating from muscle cells and was named granular cell myoblastoma. Subsequent studies have suggested a derivation from Schwann cells. It affects females more often than males and it usually presents as a solitary mass. A minority of patients have multiple tumors. It can arise from many anatomic sites including the posterior pituitary gland, skin, oral cavity, esophagus, stomach, heart, mediastinum, and breast.
Hairy Cell Leukemia	None	A rare neoplasm of small B-lymphocytes with "hairy" projections in bone marrow, spleen and peripheral blood.  Most patients are middle-aged to elderly adults and present with splenomegaly and pancytopenia. (WHO, 2001) -- 2003
Heavy Chain Disease	None	One of a group of rare disorders of immunoglobulin synthesis associated with B-cell proliferative disorders and diagnosed by the finding of heavy chains in the serum, urine, or both. Heavy chains are immunologically related to the Fc fragment of the immunoglobulin chain. Three types of heavy chain disease (HCD) have been recognized: gamma heavy chain disease (associated with Waldenstrom's macroglobulinemia), alpha heavy chain disease (also known as immunoproliferative small intestinal disease or Mediterranean lymphoma), and mu heavy chain disease (associated with chronic lymphocytic leukemia). Complications of HCD vary depending upon type.
Hemangioblastoma	None	A WHO grade I tumor of uncertain histogenesis which is composed of stromal cells and abundant capillaries. Approximately 25% of hemangioblastomas are associated with Von Hippel-Lindau disease, a disease inherited through an autosomal dominant trait and characterized by the development of capillary hemangioblastomas of the central nervous system and retina, clear cell renal carcinoma, pheochromocytoma, and pancreatic and inner ear tumors. (Adapted from WHO.)
Hemangioma	None	A benign vascular lesion characterized by the formation of capillary-sized or cavernous vascular channels.
Hepatoblastoma	None	A malignant liver neoplasm that occurs almost exclusively in infants, although isolated cases in older children and adults have been reported. Grossly, hepatoblastoma is solid, well circumscribed, and more often solitary than multiple. Microscopically, most of the tumors are composed exclusively of immature hepatocytic elements. About a fourth of hepatoblastomas contain a stromal component that may be undifferentiated or develop into bone or cartilage. The treatment of choice for hepatoblastoma is surgical excision with adjuvant therapy. Liver transplantation is being increasingly used as well.
Hepatocellular Carcinoma	None	A malignant tumor that arises from hepatocytes. Hepatocellular carcinoma is relatively rare in the United States but very common in all African countries south of the Sahara and in Southeast Asia. Most cases are seen in patients over the age of 50 years, but this tumor can also occur in younger individuals and even in children. Hepatocellular carcinoma is more common in males than females and is associated with hepatitis B, hepatitis C, chronic alcohol abuse and cirrhosis. Serum elevation of alpha-fetoprotein occurs in a large percentage of patients with hepatocellular carcinoma. Grossly, hepatocellular carcinoma may present as a single mass, as multiple nodules, or as diffuse liver involvement. Microscopically, there is a wide range of differentiation from tumor to tumor (well differentiated to poorly differentiated tumors). Hepatocellular carcinomas quickly metastasize to regional lymph nodes and lung. The overall median survival of untreated liver cell carcinoma is about 4 months. The most effective treatment of hepatocellular carcinoma is complete resection of the tumor. Lately, an increasing number of tumors have been treated with liver transplantation.
Hepatosplenic T-Cell Lymphoma	None	An extranodal, mature T-cell non-Hodgkin lymphoma that originates from cytotoxic T-cells, usually of gamma/delta T-cell type.  It is characterized by the presence of medium-size neoplastic lymphocytes infiltrating the hepatic sinusoids.  A similar infiltrating pattern is also present in the spleen and bone marrow that are usually involved at the time of the diagnosis.
HHV8-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	None	A B-cell lymphoma characterized by the presence of a diffuse proliferation of large, atypical HHV8-positive, EBV-negative neoplastic lymphocytes. Areas of multicentric Castleman disease are not present.
Hidradenocarcinoma	None	A carcinoma with apocrine and less often eccrine differentiation, arising from the sweat glands. It usually presents as a solitary slow growing nodule in the dermis or subcutaneous tissues. It is characterized by a nodular growth pattern and it is often associated with necrotic changes.
Hidradenoma	None	A benign epithelial neoplasm arising from the sweat glands. Variants include the clear cell and nodular hidradenoma.
High Grade Glandular Intraepithelial Neoplasia	None	This lesion shows moderate or marked architectural distortion with glandular crowding and prominent cellular atypia.  It includes moderate dysplasia and severe dysplasia.  (WHO, 2000)
High Grade Surface Osteosarcoma	None	A usually aggressive high grade malignant bone-forming mesenchymal neoplasm arising from the surface of the bone.
Histiocytic Sarcoma	None	An aggressive malignant neoplasm with a poor response to therapy, usually presenting as stage III/IV disease.  It is characterized by the presence of neoplastic cells with morphologic and immunophenotypic characteristics similar to those seen in mature histiocytes.
Hodgkin Lymphoma	None	A lymphoma, previously known as Hodgkin's disease, characterized by the presence of large tumor cells in an abundant admixture of nonneoplastic cells. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma involves primarily lymph nodes.
Hodgkin's Sarcoma	None	An obsolete term referring to a Hodgkin lymphoma that lacks inflammatory elements.
Human Papillomavirus-Negative Squamous Cell Carcinoma	None	A squamous cell carcinoma not associated with human papilloma virus infection.
Hydatidiform Mole	None	A gestational trophoblastic disorder characterized by marked enlargement of the chorionic villi, hyperplasia of the villous trophoblastic cells and hydropic changes.
IgM Monoclonal Gammopathy of Undetermined Significance	None	Monoclonal gammopathy of undetermined significance defined by a serum IgM paraprotein concentration less than 30g/L; bone marrow lymphoplasmacytic infiltration of less than 10%; and no evidence of anemia, constitutional symptoms, hyperviscocity, lymphadenopathy, hepatosplenomegaly, or other end-organ damage that can be attributed to the underlying lymphoproliferative disorder. It is a precursor condition that may progress to lymphoplasmacytic lymphoma/ Waldenstrom macroglobulinemia, other B-cell neoplasms, or primary amyloidosis. Progression to plasma cell myeloma occurs rarely, if at all. (WHO 2017)
In Situ Follicular Neoplasia	None	A follicular neoplasia confined to the germinal centers of the lymph nodes, without evidence of disseminated disease. It is characterized by the replacement of a germinal center by neoplastic centrocytes with uniformly intense positivity for BCL2. The surrounding mantle cuff and lymphoid architecture are intact. It has a low rate of progression to follicular lymphoma, but is often associated with prior or synchronous overt lymphoma.
Indolent Systemic Mastocytosis	None	An indolent mast cell neoplasm characterized by systemic infiltration of skin and internal organs by aggregates of neoplastic mast cells. There is no evidence of mast cell leukemia or clonal hematologic malignancy. Clinically, there is no evidence of palpable hepatomegaly and splenomegaly, malabsorption syndrome, or pathologic fractures.
Infantile Fibrosarcoma	None	A fibrosarcoma that occurs in infants.  It shares identical morphologic features with adult fibrosarcoma but carries the t(12;15)(p13;q25) translocation that results in ETV6-NTRK3 gene fusion.  It usually affects the superficial and deep soft tissues of the extremities.  The prognosis is generally much more favorable than for adult fibrosarcoma, and it rarely metastasizes.
Interdigitating Dendritic Cell Sarcoma	None	A neoplastic proliferation of spindle to ovoid cells which show phenotypic features similar to those of interdigitating dendritic cells.  The clinical course is variable ranging from benign localized disease to widespread lethal disease. (WHO, 2001)
Intestinal T-Cell Lymphoma	None	A group of mature T-cell and NK-cell non-Hodgkin lymphomas that includes enteropathy-associated T-cell lymphoma, monomorphic epitheliotropic intestinal T-cell lymphoma, and intestinal T-cell lymphoma, not otherwise specified. Most of these lymphomas arise from the small intestine and a minority from the large intestine or stomach.
Intimal Sarcoma	None	A malignant neoplasm arising from the large blood vessels.  It is characterized by the presence of tumor cells that grow within the lumen of the blood vessels.  The intraluminal tumor growth may result in vascular obstruction and spread of tumor emboli to peripheral organs.  The prognosis is usually poor.
Intraductal Papilloma	None	A small, often impalpable benign papilloma arising in a lactiferous duct and frequently causing bleeding from the nipple. (Stedman, 25th ed)
Intramuscular Hemangioma	None	A hemangioma arising from skeletal muscle.
Intrathyroid Thymic Carcinoma	None	A rare primary carcinoma of the thyroid gland, composed of groups of carcinoma cells with thymic epithelial differentiation.
Intravascular Large B-Cell Lymphoma	None	A rare extranodal B-cell non-Hodgkin lymphoma, characterized by the presence of lymphoma cells exclusively in the lumina of small vessels, particularly capillaries.  This is an extremely aggressive lymphoma which responds poorly to chemotherapy.  (WHO, 2001) -- 2003
